"","x"
"653","mKIAA1049	
Q925C9	Q925C9_MOUSE	Pcdhb4a		Pcdhb4a	
H7BXA2	H7BXA2_MOUSE	Vps29	ENSMUST00000111729;	Vps29	
A2BFF5	A2BFF5_MOUSE	Dync1i2	ENSMUST00000112136;	Dync1i2	13427;
E9Q5G1	E9Q5G1_MOUSE	Myo10	ENSMUST00000022882;	Myo10	
Q8BR31	Q8BR31_MOUSE	Clcn6		Clcn6	
H3BKB9	H3BKB9_MOUSE	Zwilch	ENSMUST00000177045;	Zwilch	
P97398	P97398_MOUSE	Eif3c		Eif3c"
"654","Eif3s8"
"655","NIPIL(A3)	
B1PMG2	B1PMG2_MOUSE	Adcy10		Adcy10"
"656","Sacy	
D3YZ77	D3YZ77_MOUSE	Adgb	ENSMUST00000132573;	Adgb"
"657","9130014G24Rik	
Q8VDP7	Q8VDP7_MOUSE	Il13ra1		Il13ra1	
A0A140LIL7	A0A140LIL7_MOUSE	Mef2a	ENSMUST00000207715;	Mef2a	
Q5XQL3	Q5XQL3_MOUSE	H2-Ab		H2-Ab	
K7T9F6	K7T9F6_MOUSE				
Q3U0V5	Q3U0V5_MOUSE	Ulk1		Ulk1	
F7D1H9	F7D1H9_MOUSE	Cse1l	ENSMUST00000164974;	Cse1l	
E9Q007	E9Q007_MOUSE	Gm4450	ENSMUST00000167753;	Gm4450	100043461;
Q3U0T7	Q3U0T7_MOUSE	Sp2		Sp2	
Q3T9Y6	Q3T9Y6_MOUSE	Gm10777		Gm10777	
A0JNU1	A0JNU1_MOUSE	Slc22a29		Slc22a29"
"658","D630002G06Rik	
Q3UT71	Q3UT71_MOUSE	A630010A05Rik		A630010A05Rik	
Q3TKL3	Q3TKL3_MOUSE	Rsrc2		Rsrc2	
C7TQ54	C7TQ54_MOUSE	Cacnb2		Cacnb2	
A0A087WNU8	A0A087WNU8_MOUSE	Gstm6	ENSMUST00000155926;	Gstm6	
E9Q995	E9Q995_MOUSE	R3hdm2	ENSMUST00000111628;	R3hdm2	
Q6Y950	Q6Y950_MOUSE	Dmrt1b		Dmrt1b	
Q8BMZ4	Q8BMZ4_MOUSE	Alg2		Alg2	
A0A1D5RML6	A0A1D5RML6_MOUSE	Olfr893	ENSMUST00000212815;	Olfr893	
Q9WU92	Q9WU92_MOUSE				
F6V9T4	F6V9T4_MOUSE	Slain1	ENSMUST00000162818;	Slain1	
Q9EQ39	Q9EQ39_MOUSE	V1rc4		V1rc4	
A0A3Q4EI83	A0A3Q4EI83_MOUSE	Cul2	ENSMUST00000234843;	Cul2	
J3JSM8	J3JSM8_MOUSE	Trim46		Trim46	
A0A1L1SU86	A0A1L1SU86_MOUSE	Fat3	ENSMUST00000217187;	Fat3	
Q8C6Z0	Q8C6Z0_MOUSE	Kif1b		Kif1b	
B7ZCN5	B7ZCN5_MOUSE	6430550D23Rik	ENSMUST00000086145;	6430550D23Rik	320095;
V9GX78	V9GX78_MOUSE	Tmem196	ENSMUST00000184069;	Tmem196	
Q3TGS1	Q3TGS1_MOUSE	Ehd1		Ehd1	
D3Z7L3	D3Z7L3_MOUSE	Tex30	ENSMUST00000127923;	Tex30"
"659","1700029F09Rik	
A0A087WQS1	A0A087WQS1_MOUSE	Sgk3	ENSMUST00000188782;	Sgk3	
J3QMJ3	J3QMJ3_MOUSE	Gm21830	ENSMUST00000178898;	Gm21830	
Q8C4R4	Q8C4R4_MOUSE	Gm9978		Gm9978	
Q80U74	Q80U74_MOUSE	Urb2		Urb2"
"660","AK122209"
"661","mKIAA0133	
Q6LBQ7	Q6LBQ7_MOUSE				
E9PXK0	E9PXK0_MOUSE	Rad1	ENSMUST00000169519;	Rad1	
A0A2Z4T2D9	A0A2Z4T2D9_MOUSE	H2-D1		H2-D1	
D6RI64	D6RI64_MOUSE	1110004F10Rik	ENSMUST00000151254;	1110004F10Rik	
Q3TM76	Q3TM76_MOUSE	Odc1		Odc1	
H3BK33	H3BK33_MOUSE	Med23	ENSMUST00000176285;	Med23	
A0A0N4SVS0	A0A0N4SVS0_MOUSE	Fancd2	ENSMUST00000129462;	Fancd2	
Q9D9X9	Q9D9X9_MOUSE	Pdha2		Pdha2	
Q6PG62	Q6PG62_MOUSE	Ptpn13		Ptpn13	
A0A140T8M1	A0A140T8M1_MOUSE	Igkv10-96	ENSMUST00000103328;	Igkv10-96	
A0A075B633	A0A075B633_MOUSE	Trav8n-2	ENSMUST00000103632;	Trav8n-2	
A0A0R4J0A0	A0A0R4J0A0_MOUSE	Eps15	ENSMUST00000030281;	Eps15	13858;
Q6NXY0	Q6NXY0_MOUSE	Chrdl1		Chrdl1	
E9QNY9	E9QNY9_MOUSE	Clasp1	ENSMUST00000070989;	Clasp1	
D3Z496	D3Z496_MOUSE	Gm10800	ENSMUST00000099683;	Gm10800	
E9QKV6	E9QKV6_MOUSE	Myo9b	ENSMUST00000071935;	Myo9b	17925;
B7ZBV1	B7ZBV1_MOUSE	Chrna4	ENSMUST00000124400;	Chrna4	
Q571M9	Q571M9_MOUSE	Atad2b		Atad2b"
"662","mKIAA1240	
A0A0U1RNK7	A0A0U1RNK7_MOUSE	Dock7	ENSMUST00000205650;	Dock7	67299;
Q3TJD0	Q3TJD0_MOUSE	Sec61a1		Sec61a1	
X5J4S3	X5J4S3_MOUSE				
H3BKH3	H3BKH3_MOUSE	Satb2	ENSMUST00000177424;	Satb2	
A0A0A6YX04	A0A0A6YX04_MOUSE	Gm29866	ENSMUST00000191675;	Gm29866	
G3UZU6	G3UZU6_MOUSE	Ptpn6	ENSMUST00000172690;	Ptpn6	
Q8C9G0	Q8C9G0_MOUSE	Pde6a		Pde6a	
A0A0G2JFW2	A0A0G2JFW2_MOUSE	Trdj2	ENSMUST00000103683;	Trdj2	
A0A0G2JE80	A0A0G2JE80_MOUSE	Miga1	ENSMUST00000196265;	Miga1"
